MEP id,Name,Member State,National Party,EP Group,NOM-D1,NOM-D2,
1666,SAYN-WITTGENSTEIN-BERLEBURG Casimir J. Prinz zu,D,1201,E,0.604,-0.069,
1671,SCAMARONI Marie-Claire,F,1404,G,0.257,-0.915,
1676,SCHALL Wolfgang,D,1201,E,0.604,-0.367,
1680,SCHIELER Rudolf F.,D,1207,S,-0.014,0.399,
1683,SCHINZEL Dieter P.A.,D,1207,S,-0.134,0.460,
1686,SCHLEICHER Ursula,D,1202,E,0.554,-0.304,
1688,SCHMID Gerhard,D,1207,S,-0.091,0.597,
1693,SCHMITT Heinz,D,1207,S,.,.,
1696,SCHNITKER Paul,D,1201,E,0.552,-0.396,
1698,SCHÖN Karl,D,1207,S,0.019,0.500,
1699,SCHÖN Konrad,D,1201,E,0.555,-0.240,
1712,SCHWARTZENBERG Roger-Gérard,F,1405,S,-0.120,-0.197,
1714,SCHWENCKE Olaf,D,1207,S,-0.044,0.390,
1715,SCIASCIA Leonardo,I,1617,R,.,.,
1716,SCOTT-HOPKINS James,U,2401,C,0.840,0.528,
1717,SCRIVENER Christiane,F,1410,L,0.408,-0.265,
1718,SEAL Barry H.,U,2404,S,-0.134,0.699,
1720,SEEFELD Horst,D,1207,S,0.019,0.515,
1721,SEELER Hans-Joachim,D,1207,S,0.017,0.439,
1723,SEGRE Sergio Camillo,I,1613,M,-0.141,-0.072,
1725,SEIBEL-EMMERLING Lieselotte,D,1207,S,-0.076,0.749,
1727,SEITLINGER Jean,F,1414,E,0.530,-0.348,
1728,SELIGMAN Madron Richard,U,2401,C,0.823,0.556,
1732,SHERLOCK Alexander,U,2401,C,0.844,0.475,
1734,SIEGLERSCHMIDT Hellmut,D,1207,S,0.005,0.576,
1739,SIMMONDS Richard J.,U,2401,C,0.805,0.581,
1740,SIMONNET Maurice-René,F,1414,E,0.546,-0.360,
1742,SIMPSON Anthony M.H.,U,2401,C,0.871,0.481,
1748,SKOVMAND Sven,K,1703,R,-0.864,0.055,
1764,SOUSSOUROYANNIS Evanghelos,G,1505,N,0.423,-0.833,
1765,SPAAK Antoinette,B,1105,N,0.123,-0.072,
1767,SPAUTZ Jean,L,1803,E,.,.,
1769,SPENCER Tom,U,2401,C,0.730,0.668,
1771,SPICER James W.,U,2401,C,0.810,0.557,
1774,SPINELLI Altiero,I,1610,M,-0.059,-0.009,
1775,SQUARCIALUPI Vera,I,1610,M,-0.186,-0.029,
1785,STELLA Carlo,I,1606,E,0.493,-0.320,
1794,STEWART-CLARK Jack,U,2401,C,0.788,0.574,
1800,STREHLER Giorgio,I,1621,S,.,.,
1807,SUTRA DE GERMA Georges,F,1412,S,-0.090,-0.307,
1821,TATILON Hughes,F,1404,G,.,.,
1824,TAYLOR John David,U,2410,C,0.720,0.391,
1825,TAYLOR John Mark,U,2401,C,0.804,0.575,
1830,THAREAU Bernard,F,1412,S,-0.054,-0.192,
1832,THÉOBALD-PAOLI Yvonne,F,1412,S,-0.071,-0.092,
1839,THORN Gaston,L,1802,L,.,.,
1844,TINDEMANS Leo C.,B,1103,E,0.658,-0.284,
1851,TOLMAN Teun,N,1901,E,0.529,-0.151,
1862,TRAVAGLINI Giovanni,I,1606,E,0.533,-0.270,
1863,TREACY Seán,R,2206,S,-0.086,-0.074,
1873,TUCKMAN Frederick A.,U,2401,C,0.796,0.599,
1874,TURCAT André,F,1404,G,0.233,-0.892,
1878,TURNER Amédée E.,U,2401,C,0.770,0.477,
1879,TYRRELL Alan R.,U,2401,C,0.842,0.539,
1893,VALERA Sile de ,R,2201,G,0.126,-0.835,
1898,VAN HEMELDONCK Marijke J.H.,B,1111,S,-0.187,0.456,
1900,VAN MIERT Karel A.L.H.,B,1111,S,-0.066,0.552,
1903,VAN ROMPUY Eric K.P.,B,1103,E,0.405,-0.218,
1906,VANDEMEULEBROUCKE Jaak H.-A.,B,1113,R,-0.376,0.017,
1908,VANDERPOORTEN Herman F.G.,B,1110,L,.,.,
1909,VANDEWIELE Marcel Albert,B,1103,E,0.484,-0.216,
1911,VANKERKHOVEN Paul,B,1109,E,0.559,-0.371,
1913,VANNECK Peter B.R.,U,2401,C,0.901,0.427,
1915,VARDAKAS Mihail,G,1505,N,0.435,-0.584,
1921,VAYSSADE Marie-Claude,F,1412,S,-0.084,-0.137,
1926,VEIL Simone,F,1401,L,0.424,-0.174,
1930,VERGEER Willem J.,N,1901,E,0.478,-0.058,
1931,VERGES Paul,F,1409,M,-0.464,-0.575,
1932,VERHAEGEN Joris B.,B,1103,E,0.457,-0.133,
1936,VERNIMMEN Willy,B,1111,S,-0.130,0.347,
1937,VERONESI Protogene,I,1613,M,-0.127,0.016,
1938,VERROKEN Joannes J.,B,1103,E,0.530,-0.366,
1941,VETTER Heinz Oskar,D,1207,S,-0.042,0.468,
1943,VGENOPOULOS Nikolaos,G,1506,S,-0.178,-0.005,
1946,VIÉ Daniel J.E.,F,1404,G,0.384,-0.792,
1947,VIEHOFF P. (Phili) J.,N,1906,S,-0.159,0.593,
1956,VISAS Themistokles,G,1505,N,0.234,-0.614,
1957,VISENTINI Bruno,I,1618,L,0.376,-0.196,
1959,VITALE Giuseppe,I,1613,M,-0.170,0.106,
1963,VLAHOPOULOS Dimitrios,G,1505,N,0.407,-0.511,
1968,von der VRING Thomas ,D,1207,S,-0.043,0.574,
1970,von WOGAU Karl,D,1201,E,0.533,-0.238,
1971,VONDELING Anne,N,1906,S,.,.,
1972,VOYADZIS Georgios,G,1505,N,0.130,-0.390,
1978,WAGNER Manfred W.,D,1207,S,0.019,0.577,
1981,WALTER Gerd,D,1207,S,-0.070,0.609,
1983,WALZ Hanna,D,1201,E,0.535,-0.229,
1984,WARNER Fred A.,U,2401,C,0.834,0.552,
1987,WAWRZIK Kurt,D,1201,E,0.506,-0.260,
1988,WEBER Beate,D,1207,S,-0.105,0.609,
1991,WEDEKIND Rudolf,D,1201,E,0.580,-0.196,
1993,WEISS Louise,F,1404,G,.,.,
1994,WELSH Michael J.,U,2401,C,0.832,0.553,
2000,WETTIG Klaus H.W.,D,1207,S,-0.057,0.633,
2005,WIECZOREK-ZEUL Heidemarie,D,1207,S,-0.163,0.575,
2015,WOLTER Jean,L,1803,E,.,.,
2016,WOLTJER Eisso P.,N,1906,S,-0.142,0.542,
2020,WURTZ Francis,F,1409,M,-0.526,-0.571,
2025,ZACCAGNINI Benigno,I,1606,E,.,.,
2027,ZAGARI Mario,I,1621,S,-0.078,0.211,
2030,ZARDINIDIS Nikos,G,1505,N,0.429,-0.867,
2031,ZARGES Axel N.,D,1201,E,0.520,-0.186,
2033,ZECCHINO Ortensio,I,1606,E,0.496,-0.198,
2035,ZIAGAS Ioannis,G,1506,S,-0.178,0.024,
2036,ZIGHDIS Ioannis,G,1503,N,0.065,-0.338,
